MMSI,LAT,LON,SOG,COG,Heading,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,Num Entries,Status of System,Latitude,Longitude,Maximum Sustained Wind,Minimum Pressure,34-knot Wind Radii NE,34-knot Wind Radii SE,34-knot Wind Radii SW,34-knot Wind Radii NW,50-knot Wind Radii NE,50-knot Wind Radii SE,50-knot Wind Radii SW,50-knot Wind Radii NW,64-knot Wind Radii NE,64-knot Wind Radii SE,64-knot Wind Radii SW,64-knot Wind Radii NW,Speed mph,PathChange
353274000.0,31.16356,-79.87955,12.6,267.9,262.0,70.0,0.0,294.0,32.0,13.5,70.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,0
636014224.0,33.7504,-78.08777,13.1,232.0,232.0,70.0,0.0,349.0,45.0,15.0,79.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
636091346.0,40.68567,-74.1535,0.0,313.0,312.0,70.0,5.0,230.0,32.0,12.0,72.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
366032000.0,34.24797,-76.33325,15.7,46.5,47.0,80.0,0.0,209.0,24.0,10.8,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
311000508.0,38.9414,-76.40693,0.2,225.7,117.0,70.0,1.0,228.0,32.0,13.5,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
235060303.0,40.49385,-73.68262,0.0,3.0,89.0,80.0,1.0,228.0,32.0,14.4,80.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
218158000.0,28.20606,-79.7833,12.0,181.0,181.0,70.0,0.0,335.0,42.0,14.5,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
636014351.0,38.92985,-75.1635,0.1,213.0,156.0,80.0,1.0,274.0,48.0,17.0,89.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
428041000.0,38.28988,-74.13759,15.9,193.0,189.0,70.0,0.0,261.0,32.0,12.8,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
311057300.0,37.22888,-76.13866,11.8,195.5,195.0,70.0,0.0,228.0,32.0,13.5,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
309046000.0,30.3488,-79.34123,12.5,329.3,328.0,70.0,0.0,316.0,45.0,14.5,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
316009457.0,43.26985,-79.78281,0.0,339.6,317.0,70.0,0.0,222.0,23.0,10.0,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
636016199.0,40.64822,-68.79055,14.2,255.0,251.0,70.0,0.0,293.0,40.0,14.0,70.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
316001698.0,43.0752,-79.21056,4.4,6.1,6.0,70.0,0.0,222.0,23.0,9.2,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
636018028.0,32.58011,-79.57504,0.0,128.3,214.0,70.0,1.0,349.0,45.0,15.0,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
368922000.0,32.85023,-79.94026,0.0,0.0,54.0,70.0,5.0,207.0,29.0,9.6,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
368660000.0,36.79857,-75.74077,14.7,117.7,116.0,70.0,0.0,292.0,32.0,13.5,70.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
367821000.0,36.97286,-76.43366,0.0,0.0,511.0,70.0,0.0,276.0,32.0,13.0,70.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,0
367822000.0,36.97315,-76.43381,0.0,0.0,240.0,70.0,5.0,276.0,32.0,13.0,70.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,0
636012762.0,39.84532,-75.27032,0.0,117.0,79.0,80.0,5.0,213.0,32.0,12.3,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
303657000.0,39.84785,-72.16173,15.6,291.4,291.0,70.0,0.0,299.0,40.0,12.0,70.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
311057100.0,33.87046,-78.01199,11.1,42.8,42.0,70.0,0.0,228.0,32.0,13.5,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
316013980.0,43.7762,-76.99618,11.7,68.6,70.0,70.0,0.0,226.0,23.0,10.2,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
247304600.0,38.24703,-76.26789,18.8,336.6,336.0,70.0,0.0,211.0,32.0,9.8,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
636092679.0,26.16717,-79.44455,16.2,188.0,189.0,70.0,0.0,275.0,40.0,14.0,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,0
354212000.0,27.60704,-78.91765,14.5,71.1,68.0,70.0,0.0,294.0,32.0,13.5,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
220129000.0,33.05055,-77.99351,11.9,249.4,248.0,70.0,0.0,346.0,42.0,15.0,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
220416000.0,40.49213,-73.60617,0.0,187.9,188.0,70.0,1.0,366.0,42.0,15.0,71.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
235093618.0,32.83306,-79.89204,0.0,166.1,21.0,70.0,5.0,334.0,45.0,14.2,74.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
367136680.0,36.92724,-76.32979,0.0,35.9,357.0,70.0,5.0,243.0,32.0,11.0,79.0,0,27,5,32.9,76.2,30.0,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
636092947.0,40.64887,-74.09008,6.3,58.1,58.0,71.0,0.0,334.0,43.0,12.5,71.0,0,27,5,33.8,75.0,30.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.513014029528136,1
636016431.0,32.97742,-78.26393,13.6,248.2,247.0,70.0,0.0,282.0,32.0,12.5,71.0,0,13,6,15.9,75.2,35.0,1006.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
316014050.0,42.706,-79.4455,11.5,48.0,49.0,70.0,0.0,225.0,23.0,10.1,71.0,0,13,6,15.9,75.2,35.0,1006.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
338058000.0,37.1534,-73.3728,15.9,268.8,268.0,70.0,0.0,228.0,32.0,9.5,70.0,0,27,5,33.8,75.0,30.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.513014029528136,1
311000392.0,27.80699,-78.40214,14.6,254.6,252.0,80.0,0.0,225.0,38.0,12.0,71.0,0,13,6,15.9,75.2,35.0,1006.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
309518000.0,28.15978,-79.20765,11.1,194.1,192.0,80.0,0.0,240.0,42.0,14.9,80.0,0,13,6,15.9,75.2,35.0,1006.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
259786000.0,36.57199,-74.06848,11.6,0.2,2.0,80.0,0.0,226.0,36.0,11.4,80.0,0,27,5,33.8,75.0,30.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.513014029528136,1
255805667.0,39.08552,-75.18603,17.3,143.6,147.0,70.0,0.0,210.0,30.0,11.5,71.0,0,13,6,15.9,75.2,35.0,1006.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.81192905173647,1
